year;emirate;Time;age group;gender;counts
2018;Umm Al - Quwain;;56 - 60;Female;0
2018;Umm Al - Quwain;;61 or more;Male;2
2018;Umm Al - Quwain;;61 or more;Female;0
2018;Umm Al - Quwain;;Unknown;Female;5
2018;Umm Al - Quwain;;Unknown;Male;0
2018;Ajman;;17 or less;Male;0
2019;Ajman;;17 or less;Female;0
2019;Ajman;;18 - 20;Male;16
2019;Ajman;;18 - 20;Female;151
2019;Ajman;;21 - 25;Male;271
2019;Ajman;;21 - 25;Female;385
2019;Ajman;;26 - 30;Female;237
2019;Ajman;;26 - 30;Male;358
2019;Ajman;;31 - 35;Female;134
2019;Ajman;;31 - 35;Male;176
2019;Ajman;;36 - 40;Female;75
2019;Ajman;;36 - 40;Male;86
2019;Ajman;;41 - 45;Female;27
2019;Ajman;;41 - 45;Male;64
2019;Ajman;;46 - 50;Female;12
2019;Ajman;;46 - 50;Male;37
2019;Ajman;;51 - 55;Female;3
2019;Ajman;;51 - 55;Male;15
2019;Ajman;;56 - 60;Female;2
2019;Ajman;;56 - 60;Male;16
2019;Ajman;;61 or more;Female;1
2019;Ajman;;61 or more;Male;12
2019;Ajman;;Unknown;Female;24
2019;Ajman;;Unknown;Male;0
2019;Fujairah;;17 or less;Male;0
2019;Fujairah;;17 or less;Female;0
2019;Fujairah;;18 - 20;Male;20
2019;Fujairah;;18 - 20;Female;119
2019;Fujairah;;21 - 25;Male;266
2019;Fujairah;;21 - 25;Female;294
2019;Fujairah;;26 - 30;Female;115
2019;Fujairah;;26 - 30;Male;196
2019;Fujairah;;31 - 35;Female;58
2019;Fujairah;;31 - 35;Male;78
2019;Fujairah;;36 - 40;Female;29
2019;Fujairah;;36 - 40;Male;38
2019;Fujairah;;41 - 45;Female;7
2019;Fujairah;;41 - 45;Male;17
2019;Fujairah;;46 - 50;Female;3
2019;Fujairah;;46 - 50;Male;9
2019;Fujairah;;51 - 55;Male;2
2019;Fujairah;;51 - 55;Female;3
2019;Fujairah;;56 - 60;Male;5
2019;Fujairah;;56 - 60;Female;0
2019;Fujairah;;61 or more;Male;6
2019;Fujairah;;61 or more;Female;0
2019;Fujairah;;Unknown;Male;2
2019;Fujairah;;Unknown;Female;11
2019;Sharjah;;17 or less;Male;0
2019;Sharjah;;17 or less;Female;0
2019;Sharjah;;18 - 20;Male;29
2019;Sharjah;;18 - 20;Female;207
2019;Sharjah;;21 - 25;Male;548
2019;Sharjah;;21 - 25;Female;794
2019;Sharjah;;26 - 30;Female;389
2019;Sharjah;;26 - 30;Male;627
2019;Sharjah;;31 - 35;Female;202
2019;Sharjah;;31 - 35;Male;282
2019;Sharjah;;36 - 40;Female;98
2019;Sharjah;;36 - 40;Male;133
2019;Sharjah;;41 - 45;Female;50
2019;Sharjah;;41 - 45;Male;76
2019;Sharjah;;46 - 50;Female;26
2019;Sharjah;;46 - 50;Male;39
